time_ms,cpu_usage,queue_length,active_workers
17185,110,17,8
17195,110,17,8
17205,110,18,8
17216,110,18,8
17228,110,19,8
17239,110,19,8
17249,110,20,8
17262,110,20,8
17274,110,21,8
17286,110,21,8
17299,110,21,8
17312,110,22,8
17323,110,22,8
17335,110,23,8
17347,170,21,8
17359,170,21,8
17372,170,17,8
17383,170,17,8
17396,170,18,8
17408,170,18,8
17419,170,19,8
17432,170,19,8
17443,170,20,8
17453,170,21,8
17465,170,21,8
17476,170,21,8
17487,170,22,8
17502,170,22,8
17515,170,23,8
17528,170,24,8
17540,170,24,8
17550,110,22,8
17562,110,22,8
17574,170,18,8
17587,170,18,8
17599,170,19,8
17612,170,19,8
17625,170,20,8
17638,170,20,8
17649,170,21,8
17661,170,21,8
17674,170,22,8
17687,170,22,8
17699,170,23,8
17710,170,23,8
17722,170,24,8
17733,170,24,8
17746,170,25,8
17759,140,22,8
17772,110,22,8
17785,170,19,8
17798,170,19,8
17809,170,20,8
17820,170,20,8
17832,170,21,8
17843,170,21,8
17856,170,22,8
17868,170,22,8
17880,170,23,8
17893,170,23,8
17905,170,24,8
17916,170,24,8
17928,170,25,8
17940,170,25,8
17951,170,23,8
17962,170,23,8
17975,170,23,8
17988,140,19,8
17999,140,20,8
18009,140,20,8
18022,140,21,8
18033,140,21,8
18045,140,22,8
18058,140,23,8
18069,140,23,8
18080,140,23,8
18093,140,24,8
18106,140,24,8
18117,140,25,8
18128,140,25,8
18140,140,26,8
18152,170,25,7
18162,170,24,8
18173,170,24,8
18183,110,20,8
18196,110,20,8
18209,110,21,8
18220,110,22,8
18232,110,22,8
18243,110,23,8
18256,110,23,8
18266,110,24,8
18278,110,24,8
18291,110,25,8
18302,110,25,8
18315,110,26,8
18326,110,26,8
18337,110,27,8
18348,110,27,8
18360,170,25,8
18372,170,25,8
18383,170,21,8
18396,170,21,8
18409,170,22,8
18419,170,22,8
18432,170,23,8
18443,170,23,8
18456,170,24,8
18467,170,24,8
18480,170,25,8
18491,170,25,8
18502,170,26,8
18512,170,26,8
18523,170,27,8
18534,170,27,8
18547,170,27,8
18559,140,27,8
18570,110,26,8
18590,140,25,8
18604,170,22,8
18620,170,22,8
18633,170,23,8
18646,170,24,8
18657,170,24,8
18668,170,25,8
18681,170,25,8
18693,170,26,8
18705,170,26,8
18716,170,27,8
18729,170,27,8
18742,170,28,8
18755,170,28,8
18765,140,26,8
18778,140,26,8
18791,140,27,8
18802,170,22,8
18815,170,23,8
18826,170,23,8
18836,170,24,8
18849,170,24,8
18862,170,25,8
18874,170,26,8
18886,170,26,8
